index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
1, 2023/10/17 23:42:05.616, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:05.618, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:05.621, 59.01 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:42:15.623, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:42:15.625, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:15.627, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:15.629, 74.05 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:42:25.632, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:42:25.633, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:25.635, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:25.637, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:42:35.639, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:42:35.641, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:35.642, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:35.644, 74.54 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:42:45.647, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:42:45.649, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:45.650, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:45.652, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:42:55.654, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:42:55.657, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:42:55.658, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:42:55.660, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:43:05.662, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:05.664, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:05.667, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:05.668, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:43:15.671, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:15.673, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:15.675, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:15.677, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:43:25.680, 56.88 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:25.682, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:25.684, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:25.685, 212.25 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:43:35.688, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:35.689, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:35.692, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:35.693, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:43:45.695, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:45.697, 41.98 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:45.699, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:45.701, 180.35 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:43:55.703, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:43:55.705, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:43:55.707, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:43:55.709, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:05.711, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:05.712, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:05.713, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:05.715, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:15.717, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:15.719, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:15.721, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:15.722, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:25.725, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:25.727, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:25.729, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:25.730, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:35.733, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:35.738, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:35.740, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:35.741, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:45.744, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:45.746, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:45.748, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:45.750, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:44:55.753, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:44:55.755, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:44:55.757, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:44:55.759, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:45:05.761, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:05.763, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:05.765, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:05.767, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:45:15.771, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:15.773, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:15.775, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:15.776, 75.03 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:45:25.779, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:25.781, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:25.783, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:25.785, 153.60 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:45:35.788, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:35.790, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:35.792, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:35.794, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:45:45.797, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:45.799, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:45.801, 43.33 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:45.802, 227.41 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:45:55.806, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:45:55.808, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:45:55.810, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:45:55.813, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:46:05.815, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:05.817, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:05.819, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:05.820, 68.75 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 23:46:15.824, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:15.826, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:15.827, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:15.829, 71.14 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:46:25.832, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:25.834, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:25.836, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:25.838, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:46:35.840, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:35.842, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:35.844, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:35.846, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:46:45.849, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:45.851, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:45.852, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:45.854, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:46:55.857, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:46:55.859, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:46:55.860, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:46:55.862, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:05.866, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:05.868, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:05.869, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:05.871, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:15.875, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:15.877, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:15.878, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:15.880, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:25.884, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:25.886, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:25.888, 43.44 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:25.889, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:35.894, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:35.896, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:35.898, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:35.900, 70.16 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:45.903, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:45.904, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:45.907, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:45.909, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:47:55.912, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:47:55.914, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:47:55.917, 43.35 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:47:55.918, 210.03 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:48:05.922, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:05.924, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:05.926, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:05.927, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:48:15.929, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:15.931, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:15.933, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:15.935, 160.54 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:48:25.937, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:25.939, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:25.941, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:25.942, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:48:35.945, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:35.947, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:35.949, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:35.952, 74.05 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:48:45.954, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:45.956, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:45.958, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:45.959, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:48:55.962, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:48:55.964, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:48:55.966, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:48:55.968, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:05.970, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:05.972, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:05.974, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:05.976, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:15.978, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:15.980, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:15.981, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:15.983, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:25.985, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:25.988, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:25.990, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:25.992, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:35.994, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:35.996, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:35.998, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:36.000, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:46.002, 56.88 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:46.004, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:46.005, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:46.007, 211.20 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:49:56.009, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:49:56.011, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:49:56.013, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:49:56.015, 58.53 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:50:06.017, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:06.020, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:06.022, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:06.023, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:50:16.027, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:16.028, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:16.031, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:16.032, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:50:26.035, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:26.037, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:26.039, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:26.040, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:50:36.042, 56.84 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:36.044, 41.98 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:36.046, 42.84 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:36.048, 208.38 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:50:46.050, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:46.052, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:46.053, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:46.055, 58.53 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:50:56.056, 56.84 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:50:56.058, 41.98 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:50:56.060, 43.33 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:50:56.061, 219.10 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:06.063, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:06.065, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:06.067, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:06.068, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:16.071, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:16.073, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:16.074, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:16.076, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:26.079, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:26.081, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:26.082, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:26.084, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:36.087, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:36.089, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:36.090, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:36.092, 71.14 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:46.094, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:46.096, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:46.098, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:46.100, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:51:56.102, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:51:56.105, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:51:56.106, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:51:56.108, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:06.111, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:06.113, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:06.115, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:06.117, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:16.119, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:16.121, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:16.123, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:16.126, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:26.128, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:26.130, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:26.132, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:26.134, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:36.137, 56.99 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:36.138, 42.03 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:36.140, 42.84 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:36.142, 196.30 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:46.145, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:46.147, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:46.149, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:46.152, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:52:56.154, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:52:56.156, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:52:56.158, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:52:56.160, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:53:06.162, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:06.164, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:06.166, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:06.167, 58.53 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:53:16.170, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:16.172, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:16.174, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:16.176, 207.41 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:53:26.178, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:26.183, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:26.185, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:26.187, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:53:36.189, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:36.191, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:36.193, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:36.195, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:53:46.197, 56.92 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:46.198, 41.98 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:46.200, 42.84 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:46.201, 182.89 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:53:56.203, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:53:56.205, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:53:56.207, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:53:56.209, 70.16 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:54:06.213, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:54:06.214, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:54:06.216, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:54:06.217, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:54:16.219, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:54:16.221, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:54:16.223, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:54:16.225, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:54:26.228, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
