index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2023/10/17 23:33:45.236, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:55.238, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:55.239, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:55.240, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:33:55.242, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:05.243, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:05.245, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:05.246, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:05.248, 78.92 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:15.251, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:15.252, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:15.254, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:15.256, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:25.257, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:25.259, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:25.260, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:25.262, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:35.263, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:35.265, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:35.267, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:35.269, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:45.271, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:45.273, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:45.275, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:45.276, 76.49 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:34:55.279, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:34:55.281, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:34:55.282, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:34:55.284, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:35:05.286, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:05.288, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:05.290, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:05.292, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
