index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2023/10/17 17:02:28.660, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:38.662, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:38.665, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:38.667, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:02:38.669, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:48.671, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:48.673, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:48.675, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:02:48.677, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:58.679, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:58.681, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:58.683, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:02:58.684, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:08.686, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:03:08.689, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:08.690, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:08.692, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:18.694, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:03:18.699, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:18.701, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:18.703, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:28.705, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:03:28.707, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:28.709, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:28.711, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:38.713, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
