index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 13:35:28.925, 67.86 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:28.931, 41.92 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:28.933, 42.76 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:28.936, 293.11 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:35:38.939, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:38.941, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:38.943, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:38.944, 72.06 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:35:48.948, 58.04 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:35:48.949, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:48.951, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:48.954, 72.60 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:35:58.956, 68.26 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:58.958, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:58.959, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:58.961, 60.96 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 13:36:08.964, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:36:08.966, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:08.967, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:08.969, 71.62 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:36:18.971, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:18.972, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:18.974, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:18.975, 69.68 W, 1470 MHz, 877 MHz, 1470 MHz
0, 2023/10/17 13:36:28.977, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:36:28.979, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:28.980, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:28.982, 69.19 W, 1470 MHz, 877 MHz, 1470 MHz
0, 2023/10/17 13:36:38.984, 58.08 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:36:38.985, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:38.987, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:38.988, 60.96 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 13:36:48.990, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:48.992, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:48.993, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:48.994, 72.11 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:36:58.996, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:58.999, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:59.001, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:59.003, 84.70 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:37:09.005, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:37:09.007, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:09.009, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:09.010, 68.66 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:37:19.013, 57.70 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:37:19.014, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:19.016, 42.76 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:19.040, 273.79 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:37:29.042, 69.68 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:37:29.044, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:29.046, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:29.047, 73.52 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:37:39.050, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:37:39.052, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:39.053, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:39.055, 71.14 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:37:49.057, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:37:49.059, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:49.060, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:49.062, 71.09 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:37:59.064, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:37:59.066, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:37:59.067, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:37:59.070, 73.52 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:38:09.073, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:38:09.074, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:09.076, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:09.078, 73.08 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:38:19.081, 69.68 W, 1507 MHz, 877 MHz, 1507 MHz
1, 2023/10/17 13:38:19.082, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:19.083, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:19.085, 67.25 W, 1462 MHz, 877 MHz, 1462 MHz
0, 2023/10/17 13:38:29.086, 67.25 W, 1507 MHz, 877 MHz, 1507 MHz
1, 2023/10/17 13:38:29.088, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:29.090, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:29.091, 70.65 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:38:39.093, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:38:39.095, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:39.097, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:39.099, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:38:49.101, 65.61 W, 1470 MHz, 877 MHz, 1470 MHz
1, 2023/10/17 13:38:49.102, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:49.104, 42.84 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:49.105, 211.00 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:38:59.108, 65.34 W, 1470 MHz, 877 MHz, 1470 MHz
1, 2023/10/17 13:38:59.110, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:38:59.112, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:38:59.114, 61.89 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 13:39:09.116, 66.76 W, 1492 MHz, 877 MHz, 1492 MHz
1, 2023/10/17 13:39:09.118, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:09.120, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:09.122, 69.68 W, 1462 MHz, 877 MHz, 1462 MHz
0, 2023/10/17 13:39:19.124, 66.27 W, 1492 MHz, 877 MHz, 1492 MHz
1, 2023/10/17 13:39:19.125, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:19.127, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:19.128, 74.05 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:39:29.131, 71.62 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:39:29.133, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:29.134, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:29.136, 71.57 W, 1492 MHz, 877 MHz, 1492 MHz
0, 2023/10/17 13:39:39.138, 67.90 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:39:39.149, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:39.155, 43.27 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:39.157, 293.88 W, 1507 MHz, 877 MHz, 1507 MHz
0, 2023/10/17 13:39:49.159, 67.69 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:39:49.160, 42.03 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:49.162, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:49.163, 94.78 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:39:59.166, 71.62 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:39:59.167, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:39:59.169, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:39:59.170, 70.60 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:40:09.173, 71.57 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:40:09.174, 42.03 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:09.177, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:09.178, 71.09 W, 1507 MHz, 877 MHz, 1507 MHz
0, 2023/10/17 13:40:19.180, 58.04 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:40:19.181, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:19.182, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:19.184, 67.73 W, 1477 MHz, 877 MHz, 1477 MHz
0, 2023/10/17 13:40:29.186, 67.25 W, 1507 MHz, 877 MHz, 1507 MHz
1, 2023/10/17 13:40:29.188, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:29.189, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:29.191, 70.12 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:40:39.193, 67.29 W, 1507 MHz, 877 MHz, 1507 MHz
1, 2023/10/17 13:40:39.195, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:39.197, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:39.199, 69.68 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:40:49.202, 66.36 W, 1500 MHz, 877 MHz, 1500 MHz
1, 2023/10/17 13:40:49.203, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:49.205, 43.27 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:49.211, 279.26 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:40:59.213, 70.16 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:40:59.215, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:40:59.216, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:40:59.218, 71.14 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:41:09.220, 58.04 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:41:09.222, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:09.224, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:09.225, 73.08 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:41:19.229, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:41:19.230, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:19.232, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:19.233, 71.09 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:41:29.235, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:41:29.237, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:29.239, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:29.241, 70.65 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:41:39.244, 65.57 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:41:39.246, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:39.247, 42.87 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:39.249, 196.52 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:41:49.251, 69.68 W, 1515 MHz, 877 MHz, 1515 MHz
1, 2023/10/17 13:41:49.253, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:49.255, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:49.257, 63.84 W, 1395 MHz, 877 MHz, 1395 MHz
0, 2023/10/17 13:41:59.260, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:41:59.261, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:41:59.263, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:41:59.265, 72.60 W, 1492 MHz, 877 MHz, 1492 MHz
0, 2023/10/17 13:42:09.267, 67.78 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:42:09.268, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:09.269, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:09.271, 69.68 W, 1485 MHz, 877 MHz, 1485 MHz
0, 2023/10/17 13:42:19.273, 66.85 W, 1500 MHz, 877 MHz, 1500 MHz
1, 2023/10/17 13:42:19.274, 41.92 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:19.276, 42.73 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:19.277, 299.64 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:42:29.279, 66.27 W, 1500 MHz, 877 MHz, 1500 MHz
1, 2023/10/17 13:42:29.281, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:29.282, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:29.284, 71.14 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:42:39.286, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:42:39.288, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:39.289, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:39.291, 72.11 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:42:49.294, 72.60 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:42:49.297, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:49.299, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:49.300, 70.65 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:42:59.302, 72.11 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:42:59.304, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:42:59.306, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:42:59.308, 70.12 W, 1462 MHz, 877 MHz, 1462 MHz
0, 2023/10/17 13:43:09.310, 65.79 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:43:09.312, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:09.314, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:09.315, 73.52 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:43:19.317, 71.14 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:43:19.319, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:19.321, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:19.323, 74.01 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:43:29.325, 57.89 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:43:29.327, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:29.329, 42.78 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:29.331, 260.22 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:43:39.333, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:43:39.335, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:39.336, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:39.338, 65.30 W, 1425 MHz, 877 MHz, 1425 MHz
0, 2023/10/17 13:43:49.340, 277.27 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:43:49.342, 41.90 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:49.343, 43.24 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:49.345, 70.23 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:43:59.347, 66.89 W, 1515 MHz, 877 MHz, 1515 MHz
1, 2023/10/17 13:43:59.349, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:43:59.351, 43.27 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:43:59.353, 281.30 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:44:09.355, 58.04 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:44:09.356, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:09.358, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:09.359, 69.19 W, 1492 MHz, 877 MHz, 1492 MHz
0, 2023/10/17 13:44:19.362, 57.44 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:44:19.363, 42.03 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:19.365, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:19.367, 162.32 W, 1507 MHz, 877 MHz, 1507 MHz
0, 2023/10/17 13:44:29.369, 66.32 W, 1500 MHz, 877 MHz, 1500 MHz
1, 2023/10/17 13:44:29.371, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:29.372, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:29.374, 72.11 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:44:39.377, 65.79 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:44:39.379, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:39.381, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:39.382, 70.60 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:44:49.385, 65.83 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:44:49.386, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:49.388, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:49.390, 71.62 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:44:59.392, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:44:59.394, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:44:59.396, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:44:59.398, 69.68 W, 1492 MHz, 877 MHz, 1492 MHz
0, 2023/10/17 13:45:09.400, 70.42 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:45:09.402, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:09.403, 42.84 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:09.405, 211.14 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:45:19.407, 67.73 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:45:19.409, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:19.410, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:19.411, 71.09 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:45:29.413, 67.25 W, 1515 MHz, 877 MHz, 1515 MHz
1, 2023/10/17 13:45:29.415, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:29.417, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:29.419, 74.49 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:45:39.421, 70.16 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:45:39.424, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:39.425, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:39.426, 65.79 W, 1440 MHz, 877 MHz, 1440 MHz
0, 2023/10/17 13:45:49.429, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:45:49.431, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:49.433, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:49.435, 74.05 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:45:59.437, 65.79 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:45:59.439, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:45:59.440, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:45:59.442, 70.16 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:46:09.445, 65.34 W, 1485 MHz, 877 MHz, 1485 MHz
1, 2023/10/17 13:46:09.447, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:09.448, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:09.450, 71.14 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:46:19.453, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:46:19.454, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:19.456, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:19.457, 72.60 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:46:29.459, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:46:29.462, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:29.463, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:29.465, 65.30 W, 1417 MHz, 877 MHz, 1417 MHz
0, 2023/10/17 13:46:39.467, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:46:39.468, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:39.470, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:39.472, 70.16 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:46:49.474, 64.81 W, 1470 MHz, 877 MHz, 1470 MHz
1, 2023/10/17 13:46:49.476, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:49.478, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:49.480, 71.62 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:46:59.482, 69.68 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:46:59.484, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:46:59.486, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:46:59.487, 69.68 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:47:09.489, 67.73 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:47:09.492, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:47:09.493, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:47:09.495, 70.65 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:47:19.497, 57.59 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:47:19.499, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:47:19.501, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:47:19.502, 72.11 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:47:29.504, 267.36 W, 1425 MHz, 877 MHz, 1425 MHz
1, 2023/10/17 13:47:29.506, 41.92 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:47:29.507, 42.78 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:47:29.508, 71.78 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 13:47:39.510, 67.25 W, 1515 MHz, 877 MHz, 1515 MHz
1, 2023/10/17 13:47:39.512, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:47:39.514, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:47:39.515, 61.89 W, 1290 MHz, 877 MHz, 1290 MHz
